,SiteName_x,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,hash,SiteName_y,WindDirection,WindPower,Gust,Visibility,Temperature,Moisture,AtmosphericPressure,Weather,Rainfall1day,Unit,DataCreationDate
858,大里,臺中市,43,,良好,2.1,0.24,0.3,36,34,23,17,9.1,10,0.9,2.1,354,2019/10/20 06:00,13,22,3,120.677689,24.099611,30,30-2019-10-20 06:00:00,30,北,2,,,21.7,73,1015.5,,0,中央氣象局,2019/10/20 06:00
859,基隆,基隆市,71,臭氧八小時,普通,1.5,0.19,0.2,59,61,38,12,3.7,4.1,0.4,0.7,74,2019/10/20 06:00,12,36,1,121.760056,25.129167,1,1-2019-10-20 06:00:00,1,北,4,6,,22.6,63,1017.9,,0,中央氣象局,2019/10/20 06:00
860,新竹,新竹市,49,,良好,2,0.21,0.2,53,53,30,9,5.8,5.8,0.1,2.5,62,2019/10/20 06:00,12,32,2,120.972075,24.805619,24,24-2019-10-20 06:00:00,24,北北東,1,,,20.8,74,1017.5,,0,中央氣象局,2019/10/20 06:00
861,冬山,宜蘭縣,39,,良好,1.2,0.18,0.2,31,41,25,11,7.7,8.5,0.8,0.9,313,2019/10/20 06:00,12,23,1,121.792928,24.632203,66,66-2019-10-20 06:00:00,66,北北西,2,,,20.6,78,1017.5,,0,中央氣象局,2019/10/20 06:00
862,臺東,臺東縣,44,,良好,1.7,0.19,0.2,47,47,15,9,1.4,1.6,0.1,1,319,2019/10/20 06:00,12,18,2,121.15045,22.755358,62,62-2019-10-20 06:00:00,62,北,1,,,23,79,1015.6,,0,中央氣象局,2019/10/20 06:00
863,陽明,臺北市,51,臭氧八小時,普通,2.3,0.13,0.2,55,55,22,11,1.2,1.6,0.4,,,2019/10/20 06:00,10,20,1,121.529583,25.182722,64,64-2019-10-20 06:00:00,64,北北西,3,6,,14.5,91,,,0,中央氣象局,2019/10/20 06:00
864,陽明,臺北市,51,臭氧八小時,普通,2.3,0.14,0.2,55,55,20,9,1.4,1.5,0.2,,,2019/10/20 05:00,9,19,1,121.529583,25.182722,64,64-2019-10-20 05:00:00,64,北北西,3,6,15,14.6,93,,陰,0,中央氣象局,2019/10/20 05:00
865,臺南,臺南市,67,細懸浮微粒,普通,4,0.31,0.3,18,25,41,21,16,17,1.5,1.6,24,2019/10/20 05:00,22,48,3,120.202617,22.984581,46,46-2019-10-20 05:00:00,46,北,3,,7,21.8,82,1014.8,晴有靄,0,中央氣象局,2019/10/20 05:00
866,馬祖,連江縣,126,臭氧八小時,對敏感族群不健康,2.1,0.25,0.2,74,78,39,26,4.6,5,0.4,1.5,336,2019/10/20 05:00,22,40,2,119.949875,26.160469,75,75-2019-10-20 05:00:00,75,北,2,,15,19.9,72,1019.9,晴,0,中央氣象局,2019/10/20 05:00
867,金門,金門縣,74,臭氧八小時,普通,3.4,0.27,0.3,62,62,50,23,7.3,7.7,0.4,3.5,10,2019/10/20 05:00,20,49,3,118.312256,24.432133,77,77-2019-10-20 05:00:00,77,北北東,3,,20,20.6,65,1019.1,晴,0,中央氣象局,2019/10/20 05:00
868,嘉義,嘉義市,61,細懸浮微粒,普通,5,0.31,0.3,22,24,34,18,12,12,0.1,2.6,5.8,2019/10/20 05:00,20,37,3,120.440833,23.462778,42,42-2019-10-20 05:00:00,42,北北東,1,,8,20.3,86,1014.6,晴有靄,0,中央氣象局,2019/10/20 05:00
869,萬華,臺北市,47,,良好,1.3,0.22,0.3,56,48,32,13,5.7,6.8,1.1,0.8,68,2019/10/20 05:00,15,31,1,121.507972,25.046503,13,13-2019-10-20 05:00:00,13,東南,1,,,21.3,84,1017.6,,0.5,中央氣象局,2019/10/20 05:00
870,板橋,新北市,44,,良好,,0.31,0.3,37,45,33,11,9.2,10,0.8,1.2,145,2019/10/20 05:00,14,31,,121.458667,25.012972,6,6-2019-10-20 05:00:00,6,東北東,1,,16,19.3,88,1017.8,晴,0,中央氣象局,2019/10/20 05:00
871,沙鹿,臺中市,46,,良好,2.4,0.18,0.2,51,48,27,15,5.4,6.2,0.9,4.4,3.4,2019/10/20 05:00,14,27,2,120.568794,24.225628,29,29-2019-10-20 05:00:00,29,北,4,7,,21,70,1015.4,,0,中央氣象局,2019/10/20 05:00
872,馬公,澎湖縣,64,臭氧八小時,普通,1.9,0.17,0.2,60,59,34,12,1.1,5.8,4.7,7.5,28,2019/10/20 05:00,13,33,2,119.566158,23.569031,78,78-2019-10-20 05:00:00,78,北北東,4,7,18,23.2,68,1015.3,多雲,0,中央氣象局,2019/10/20 05:00
873,恆春,屏東縣,61,臭氧八小時,普通,1,0.12,0.1,59,58,27,10,1.7,2.4,0.7,7.5,31,2019/10/20 05:00,13,27,1,120.788928,21.958069,61,61-2019-10-20 05:00:00,61,北北東,2,6,13,24.2,82,1013.9,晴,0,中央氣象局,2019/10/20 05:00
874,大里,臺中市,41,,良好,1.9,0.22,0.3,36,34,18,11,7.6,8.4,0.8,1.4,354,2019/10/20 05:00,13,23,3,120.677689,24.099611,30,30-2019-10-20 05:00:00,30,北,2,,12,21.7,74,1014.9,陰,0,中央氣象局,2019/10/20 05:00
875,基隆,基隆市,71,臭氧八小時,普通,1.4,0.26,0.2,59,61,33,10,4,4.2,0.2,0.7,133,2019/10/20 05:00,12,36,1,121.760056,25.129167,1,1-2019-10-20 05:00:00,1,北,3,,,22.7,64,1017.4,,0,中央氣象局,2019/10/20 05:00
876,觀音,桃園市,61,臭氧八小時,普通,3.4,0.14,0.1,60,58,35,11,4.1,4.6,0.5,4.7,54,2019/10/20 05:00,12,32,5,121.082761,25.035503,19,19-2019-10-20 05:00:00,19,東北,4,6,12,21.6,60,1017,晴,0,中央氣象局,2019/10/20 05:00
877,新竹,新竹市,49,,良好,2.2,0.21,0.2,54,53,37,12,5.2,5.6,0.3,2.5,71,2019/10/20 05:00,12,32,2,120.972075,24.805619,24,24-2019-10-20 05:00:00,24,東北,1,,9,20.8,74,1016.8,晴有霾,0,中央氣象局,2019/10/20 05:00
878,冬山,宜蘭縣,41,,良好,1.1,0.15,0.2,42,44,19,9,2.9,3.5,0.6,1.6,285,2019/10/20 05:00,12,22,1,121.792928,24.632203,66,66-2019-10-20 05:00:00,66,靜風,,,10,19.6,80,1017.1,晴,0,中央氣象局,2019/10/20 05:00
879,臺東,臺東縣,44,,良好,1.6,0.18,0.2,48,47,14,10,1.4,1.3,0,1.8,307,2019/10/20 05:00,12,19,2,121.15045,22.755358,62,62-2019-10-20 05:00:00,62,北,1,,25,23,78,1014.7,多雲,0,中央氣象局,2019/10/20 05:00
880,臺南,臺南市,67,細懸浮微粒,普通,2.5,0.33,0.3,22,27,34,26,13,14,1.3,1.5,28,2019/10/20 04:00,22,52,3,120.202617,22.984581,46,46-2019-10-20 04:00:00,46,北北西,2,,,22.1,81,1014.6,,0,中央氣象局,2019/10/20 04:00
881,馬祖,連江縣,129,臭氧八小時,對敏感族群不健康,2.2,0.25,0.2,75,79,46,25,4.7,5.1,0.4,1.4,344,2019/10/20 04:00,21,41,2,119.949875,26.160469,75,75-2019-10-20 04:00:00,75,北,2,,,20,73,1019.7,,0,中央氣象局,2019/10/20 04:00
882,嘉義,嘉義市,61,細懸浮微粒,普通,2.7,0.33,0.4,20,25,31,22,12,13,0.5,2.4,4.3,2019/10/20 04:00,20,40,3,120.440833,23.462778,42,42-2019-10-20 04:00:00,42,北,2,,,21.2,84,1014.6,,0,中央氣象局,2019/10/20 04:00
883,金門,金門縣,80,臭氧八小時,普通,3.4,0.27,0.3,63,64,46,18,7.2,7.8,0.6,4.1,23,2019/10/20 04:00,19,48,3,118.312256,24.432133,77,77-2019-10-20 04:00:00,77,北北東,3,,,20.7,65,1019,,0,中央氣象局,2019/10/20 04:00
884,板橋,新北市,46,,良好,,0.25,0.3,48,45,25,14,6.6,7.1,0.5,0.5,60,2019/10/20 04:00,14,31,,121.458667,25.012972,6,6-2019-10-20 04:00:00,6,靜風,,,,19.9,85,1017.8,,0,中央氣象局,2019/10/20 04:00
885,萬華,臺北市,47,,良好,1.3,0.25,0.3,54,45,30,14,6.1,7,1,1.1,97,2019/10/20 04:00,14,30,1,121.507972,25.046503,13,13-2019-10-20 04:00:00,13,東,1,,,21.5,77,1017.6,,0.5,中央氣象局,2019/10/20 04:00
886,沙鹿,臺中市,45,,良好,2.4,0.19,0.2,50,47,28,15,6.2,6.9,0.7,4.7,353,2019/10/20 04:00,14,27,2,120.568794,24.225628,29,29-2019-10-20 04:00:00,29,北,4,6,,21.4,68,1015.5,,0,中央氣象局,2019/10/20 04:00
887,恆春,屏東縣,61,臭氧八小時,普通,1,0.13,0.1,57,58,26,14,1.8,2.4,0.6,7.6,26,2019/10/20 04:00,14,27,1,120.788928,21.958069,61,61-2019-10-20 04:00:00,61,北,3,,,24.3,80,1013.8,,0,中央氣象局,2019/10/20 04:00
888,馬公,澎湖縣,64,臭氧八小時,普通,1.5,0.17,0.2,61,59,26,11,0.3,5,4.7,6.9,27,2019/10/20 04:00,13,33,2,119.566158,23.569031,78,78-2019-10-20 04:00:00,78,北北東,4,7,,23.1,78,1015.2,,0,中央氣象局,2019/10/20 04:00
889,觀音,桃園市,58,臭氧八小時,普通,3.9,0.15,0.1,59,57,30,10,4.6,5.1,0.5,6.4,46,2019/10/20 04:00,13,32,5,121.082761,25.035503,19,19-2019-10-20 04:00:00,19,東北,4,6,,21.6,62,1016.9,,0,中央氣象局,2019/10/20 04:00
890,大里,臺中市,43,,良好,1.9,0.21,0.3,37,34,17,13,7.4,8.1,0.6,1.5,21,2019/10/20 04:00,13,24,3,120.677689,24.099611,30,30-2019-10-20 04:00:00,30,北,2,,,22.2,73,1015,,0,中央氣象局,2019/10/20 04:00
891,冬山,宜蘭縣,42,,良好,1.3,0.14,0.2,40,44,23,12,2.9,3.7,0.7,1.7,245,2019/10/20 04:00,13,23,1,121.792928,24.632203,66,66-2019-10-20 04:00:00,66,北北西,1,,,20.4,77,1017,,0,中央氣象局,2019/10/20 04:00
892,基隆,基隆市,71,臭氧八小時,普通,1.6,0.17,0.2,61,61,32,12,2.4,2.5,0,0.9,79,2019/10/20 04:00,12,38,1,121.760056,25.129167,1,1-2019-10-20 04:00:00,1,北,4,,,22.7,69,1017.1,,0,中央氣象局,2019/10/20 04:00
893,新竹,新竹市,48,,良好,2.3,0.23,0.2,54,52,29,15,5,5.4,0.4,3,69,2019/10/20 04:00,12,31,2,120.972075,24.805619,24,24-2019-10-20 04:00:00,24,北北東,1,,,20.9,74,1016.9,,0,中央氣象局,2019/10/20 04:00
894,臺東,臺東縣,44,,良好,1.7,0.17,0.2,47,48,17,14,1.5,1.3,/0.1,2.3,307,2019/10/20 04:00,12,21,2,121.15045,22.755358,62,62-2019-10-20 04:00:00,62,北北西,1,,,23.1,78,1014.8,,0,中央氣象局,2019/10/20 04:00
895,陽明,臺北市,51,臭氧八小時,普通,2.2,0.15,0.2,55,55,22,10,1.2,1.5,0.4,,,2019/10/20 04:00,10,19,1,121.529583,25.182722,64,64-2019-10-20 04:00:00,64,北,3,,,14.7,93,,,0,中央氣象局,2019/10/20 04:00
896,陽明,臺北市,51,臭氧八小時,普通,2.2,0.16,0.1,55,55,23,10,1,1.3,0.3,,,2019/10/20 03:00,9,18,1,121.529583,25.182722,64,64-2019-10-20 03:00:00,64,北北西,3,6,,14.7,94,,,0,中央氣象局,2019/10/20 03:00
897,臺南,臺南市,66,細懸浮微粒,普通,2.3,0.28,0.3,24,29,39,20,14,15,1.2,2.1,27,2019/10/20 03:00,21,58,3,120.202617,22.984581,46,46-2019-10-20 03:00:00,46,北,3,,,22.2,79,1014.8,,0,中央氣象局,2019/10/20 03:00
898,嘉義,嘉義市,61,細懸浮微粒,普通,2.4,0.32,0.4,22,27,32,21,12,12,0.2,1.5,58,2019/10/20 03:00,20,43,3,120.440833,23.462778,42,42-2019-10-20 03:00:00,42,北,1,,,21.3,85,1014.8,,0,中央氣象局,2019/10/20 03:00
899,馬祖,連江縣,129,臭氧八小時,對敏感族群不健康,1.8,0.24,0.2,76,79,42,20,4,4.5,0.5,1.5,331,2019/10/20 03:00,20,40,2,119.949875,26.160469,75,75-2019-10-20 03:00:00,75,北,3,,,20.3,73,1019.9,,0,中央氣象局,2019/10/20 03:00
900,金門,金門縣,84,臭氧八小時,普通,4,0.26,0.3,62,65,53,23,8.8,9.2,0.4,3.7,21,2019/10/20 03:00,19,47,3,118.312256,24.432133,77,77-2019-10-20 03:00:00,77,北北東,2,,,20.7,65,1019.2,,0,中央氣象局,2019/10/20 03:00
901,板橋,新北市,47,,良好,,0.25,0.4,54,44,33,11,5.6,6.2,0.6,1.5,100,2019/10/20 03:00,15,32,,121.458667,25.012972,6,6-2019-10-20 03:00:00,6,東北,1,,,20.9,77,1018.1,,0,中央氣象局,2019/10/20 03:00
902,萬華,臺北市,47,,良好,1,0.26,0.3,55,42,28,15,5.6,6.8,1.2,1.5,111,2019/10/20 03:00,15,31,1,121.507972,25.046503,13,13-2019-10-20 03:00:00,13,東北東,1,,,21.9,74,1018,,0.5,中央氣象局,2019/10/20 03:00
903,馬公,澎湖縣,61,臭氧八小時,普通,1.5,0.17,0.2,61,58,34,15,0.2,5,4.7,6.8,23,2019/10/20 03:00,14,35,2,119.566158,23.569031,78,78-2019-10-20 03:00:00,78,北北東,4,7,,23.4,79,1015.5,,0,中央氣象局,2019/10/20 03:00
904,沙鹿,臺中市,45,,良好,2.3,0.19,0.2,49,46,30,11,6.5,7.1,0.6,5,355,2019/10/20 03:00,14,27,2,120.568794,24.225628,29,29-2019-10-20 03:00:00,29,北,4,7,,21.7,68,1015.7,,0,中央氣象局,2019/10/20 03:00
905,恆春,屏東縣,61,臭氧八小時,普通,1,0.12,0.1,58,58,28,12,1.8,2.5,0.7,7.8,19,2019/10/20 03:00,14,26,1,120.788928,21.958069,61,61-2019-10-20 03:00:00,61,北北東,3,6,,24.4,79,1013.9,,0,中央氣象局,2019/10/20 03:00
906,觀音,桃園市,54,臭氧八小時,普通,4.6,0.16,0.1,58,56,33,13,4.6,5,0.4,6,45,2019/10/20 03:00,13,32,5,121.082761,25.035503,19,19-2019-10-20 03:00:00,19,東北,4,6,,21.6,62,1017.1,,0,中央氣象局,2019/10/20 03:00
907,大里,臺中市,43,,良好,2,0.25,0.3,33,33,27,12,9.1,9.8,0.7,1.8,6.5,2019/10/20 03:00,13,26,3,120.677689,24.099611,30,30-2019-10-20 03:00:00,30,北,1,,,22.1,74,1015.2,,0,中央氣象局,2019/10/20 03:00
908,冬山,宜蘭縣,42,,良好,1.3,0.15,0.2,46,45,20,11,3.4,3.8,0.4,1.5,304,2019/10/20 03:00,13,23,1,121.792928,24.632203,66,66-2019-10-20 03:00:00,66,東北,2,,,22,74,1017.2,,0,中央氣象局,2019/10/20 03:00
909,基隆,基隆市,71,臭氧八小時,普通,1.3,0.2,0.2,61,61,34,10,2.5,2.6,0.2,0.8,80,2019/10/20 03:00,12,39,1,121.760056,25.129167,1,1-2019-10-20 03:00:00,1,北,4,,,22.9,62,1017.5,,0,中央氣象局,2019/10/20 03:00
910,臺東,臺東縣,44,,良好,1.6,0.17,0.2,47,48,19,11,1.5,1.4,/0.1,1.5,307,2019/10/20 03:00,12,22,2,121.15045,22.755358,62,62-2019-10-20 03:00:00,62,西北,1,,,23.6,75,1014.9,,0,中央氣象局,2019/10/20 03:00
911,新竹,新竹市,47,,良好,2.4,0.25,0.3,53,51,30,10,4.6,5,0.4,3,66,2019/10/20 03:00,11,32,2,120.972075,24.805619,24,24-2019-10-20 03:00:00,24,東北東,1,,,21.2,73,1016.9,,0,中央氣象局,2019/10/20 03:00
912,陽明,臺北市,50,,良好,2.3,0.18,0.1,55,54,21,9,0.8,1.1,0.3,,,2019/10/20 02:00,9,16,1,121.529583,25.182722,64,64-2019-10-20 02:00:00,64,北北西,3,,,14.3,96,,,0,中央氣象局,2019/10/20 02:00
913,臺南,臺南市,68,細懸浮微粒,普通,2.2,0.31,0.4,23,31,37,19,15,16,1.3,1.6,28,2019/10/20 02:00,22,63,3,120.202617,22.984581,46,46-2019-10-20 02:00:00,46,北,2,,10,22.6,78,1015.3,陰,0,中央氣象局,2019/10/20 02:00
914,馬祖,連江縣,129,臭氧八小時,對敏感族群不健康,1.8,0.23,0.2,77,79,40,22,3.7,4.1,0.4,2.3,324,2019/10/20 02:00,20,40,2,119.949875,26.160469,75,75-2019-10-20 02:00:00,75,北北東,2,,,21.2,69,1020.3,,0,中央氣象局,2019/10/20 02:00
915,嘉義,嘉義市,60,細懸浮微粒,普通,2.9,0.32,0.4,24,28,40,17,13,13,/0.1,2,55,2019/10/20 02:00,19,44,3,120.440833,23.462778,42,42-2019-10-20 02:00:00,42,北北東,2,,,21.5,83,1015.2,,0,中央氣象局,2019/10/20 02:00
916,金門,金門縣,87,臭氧八小時,普通,4.5,0.26,0.3,60,66,53,21,9.6,10,0.5,3.2,8.5,2019/10/20 02:00,18,46,3,118.312256,24.432133,77,77-2019-10-20 02:00:00,77,北北東,3,6,,20.9,64,1019.4,,0,中央氣象局,2019/10/20 02:00
917,板橋,新北市,49,,良好,1.6,0.27,0.4,51,42,30,12,6.8,7.2,0.5,1.4,72,2019/10/20 02:00,15,32,,121.458667,25.012972,6,6-2019-10-20 02:00:00,6,東北東,1,,15,22.3,71,1018.1,多雲,0,中央氣象局,2019/10/20 02:00
918,沙鹿,臺中市,49,,良好,2.3,0.18,0.2,48,46,21,12,6.8,7.3,0.5,4.4,357,2019/10/20 02:00,15,27,2,120.568794,24.225628,29,29-2019-10-20 02:00:00,29,北,3,7,,21.7,70,1016,,0,中央氣象局,2019/10/20 02:00
919,馬公,澎湖縣,61,臭氧八小時,普通,1.6,0.17,0.2,61,58,35,13,0.5,5.2,4.7,7.4,20,2019/10/20 02:00,14,35,2,119.566158,23.569031,78,78-2019-10-20 02:00:00,78,北北東,4,7,,23.5,79,1015.9,,0,中央氣象局,2019/10/20 02:00
920,觀音,桃園市,51,臭氧八小時,普通,4.2,0.17,0.1,57,55,30,11,4.6,4.9,0.4,6.7,50,2019/10/20 02:00,14,33,5,121.082761,25.035503,19,19-2019-10-20 02:00:00,19,東北,4,7,,21.9,62,1017.3,,0,中央氣象局,2019/10/20 02:00
921,萬華,臺北市,46,,良好,1.2,0.26,0.3,53,40,30,16,6.9,7.9,1,1.9,94,2019/10/20 02:00,14,31,1,121.507972,25.046503,13,13-2019-10-20 02:00:00,13,東北,2,,,22.5,71,1018,,0.5,中央氣象局,2019/10/20 02:00
922,大里,臺中市,44,,良好,1.8,0.27,0.3,33,33,24,12,9.7,11,0.8,1.4,17,2019/10/20 02:00,14,26,3,120.677689,24.099611,30,30-2019-10-20 02:00:00,30,北北西,1,,12,22.4,74,1015.3,陰,0,中央氣象局,2019/10/20 02:00
923,恆春,屏東縣,61,臭氧八小時,普通,1.1,0.13,0.1,58,58,23,14,1.6,2.3,0.7,8.5,34,2019/10/20 02:00,14,26,1,120.788928,21.958069,61,61-2019-10-20 02:00:00,61,北北東,4,7,,24.8,77,1014.3,,0,中央氣象局,2019/10/20 02:00
924,冬山,宜蘭縣,44,,良好,1.2,0.14,0.2,50,44,20,12,3,3.5,0.5,1.5,291,2019/10/20 02:00,14,23,1,121.792928,24.632203,66,66-2019-10-20 02:00:00,66,北北西,1,,,21.4,82,1017.6,,0,中央氣象局,2019/10/20 02:00
925,基隆,基隆市,71,臭氧八小時,普通,1.4,0.2,0.2,63,61,37,11,1.9,2.1,0.3,1.1,59,2019/10/20 02:00,13,39,1,121.760056,25.129167,1,1-2019-10-20 02:00:00,1,北,4,6,,22.9,62,1017.9,,0,中央氣象局,2019/10/20 02:00
926,新竹,新竹市,47,,良好,2.3,0.24,0.3,54,51,27,10,4.4,5,0.6,3,85,2019/10/20 02:00,12,32,2,120.972075,24.805619,24,24-2019-10-20 02:00:00,24,東北,2,,,21.4,72,1017.1,,0,中央氣象局,2019/10/20 02:00
927,臺東,臺東縣,44,,良好,1.7,0.18,0.2,47,48,18,12,2,1.9,/0.1,1.6,304,2019/10/20 02:00,12,22,2,121.15045,22.755358,62,62-2019-10-20 02:00:00,62,北,1,,20,23.5,76,1015.4,多雲,0,中央氣象局,2019/10/20 02:00
928,陽明,臺北市,50,,良好,0.5,0.16,0.1,55,54,23,14,0.7,1,0.3,,,2019/10/20 01:00,9,14,1,121.529583,25.182722,64,64-2019-10-20 01:00:00,64,北北西,3,,,14.6,97,,,0,中央氣象局,2019/10/20 01:00
929,臺南,臺南市,69,細懸浮微粒,普通,1.9,0.31,0.4,27,35,37,16,13,14,0.9,1.1,24,2019/10/20 01:00,23,65,3,120.202617,22.984581,46,46-2019-10-20 01:00:00,46,北北西,2,,,22.9,76,1015.5,,0,中央氣象局,2019/10/20 01:00
930,嘉義,嘉義市,62,細懸浮微粒,普通,17,0.35,0.4,23,31,38,17,13,14,0.9,1.3,5.2,2019/10/20 01:00,20,44,4,120.440833,23.462778,42,42-2019-10-20 01:00:00,42,北北東,1,,,21.7,84,1015.3,,0,中央氣象局,2019/10/20 01:00
931,馬祖,連江縣,126,臭氧八小時,對敏感族群不健康,1.9,0.24,0.2,80,78,43,21,3.8,4.3,0.5,2.1,330,2019/10/20 01:00,20,40,2,119.949875,26.160469,75,75-2019-10-20 01:00:00,75,東北,3,,,21.2,67,1020.5,,0,中央氣象局,2019/10/20 01:00
932,金門,金門縣,93,臭氧八小時,普通,2.1,0.27,0.3,62,68,39,16,5.9,6.1,0.2,3.9,17,2019/10/20 01:00,18,46,3,118.312256,24.432133,77,77-2019-10-20 01:00:00,77,東北,3,,,21.3,66,1020,,0,中央氣象局,2019/10/20 01:00
933,板橋,新北市,51,細懸浮微粒,普通,3.5,0.29,0.4,50,39,31,14,9.9,10,0.5,2.1,71,2019/10/20 01:00,16,32,,121.458667,25.012972,6,6-2019-10-20 01:00:00,6,東北,1,,,22.6,69,1018.3,,0,中央氣象局,2019/10/20 01:00
934,沙鹿,臺中市,52,細懸浮微粒,普通,1.1,0.2,0.2,46,46,23,13,7.2,8.9,1.6,4.1,2.3,2019/10/20 01:00,16,28,2,120.568794,24.225628,29,29-2019-10-20 01:00:00,29,北,4,6,,21.6,72,1016,,0,中央氣象局,2019/10/20 01:00
935,觀音,桃園市,51,臭氧八小時,普通,5.8,0.15,0.1,57,55,30,13,5.1,5.1,0,6.3,54,2019/10/20 01:00,15,33,5,121.082761,25.035503,19,19-2019-10-20 01:00:00,19,東北,4,6,,21.8,64,1017.5,,0,中央氣象局,2019/10/20 01:00
936,基隆,基隆市,67,臭氧八小時,普通,1.2,0.17,0.2,62,60,43,9,2.2,3.1,0.9,1.2,58,2019/10/20 01:00,14,40,1,121.760056,25.129167,1,1-2019-10-20 01:00:00,1,北,4,6,,23.1,64,1017.9,,0,中央氣象局,2019/10/20 01:00
937,馬公,澎湖縣,64,臭氧八小時,普通,1.8,0.15,0.2,58,59,35,14,0.7,4.9,4.2,6.6,19,2019/10/20 01:00,14,36,2,119.566158,23.569031,78,78-2019-10-20 01:00:00,78,北北東,4,6,,23.6,79,1016.1,,0,中央氣象局,2019/10/20 01:00
938,萬華,臺北市,45,,良好,0.8,0.28,0.4,50,37,30,12,9.1,10,1.1,1.4,87,2019/10/20 01:00,14,31,1,121.507972,25.046503,13,13-2019-10-20 01:00:00,13,東北,2,,,22.7,71,1018.1,,0,中央氣象局,2019/10/20 01:00
939,大里,臺中市,44,,良好,2.3,0.27,0.3,34,34,25,15,9.7,10,0.3,1.7,25,2019/10/20 01:00,14,26,3,120.677689,24.099611,30,30-2019-10-20 01:00:00,30,北,1,,,22.3,76,1015.6,,0,中央氣象局,2019/10/20 01:00
940,恆春,屏東縣,61,臭氧八小時,普通,1.1,0.16,0.1,60,58,29,15,1.6,2.3,0.6,9.2,35,2019/10/20 01:00,14,26,1,120.788928,21.958069,61,61-2019-10-20 01:00:00,61,東北,4,7,,25.1,78,1014.3,,0,中央氣象局,2019/10/20 01:00
941,新竹,新竹市,46,,良好,,,0.3,56,50,31,9,,,,3,72,2019/10/20 01:00,13,33,2,120.972075,24.805619,24,24-2019-10-20 01:00:00,24,東北,2,,,21.6,72,1017.3,,0,中央氣象局,2019/10/20 01:00
942,冬山,宜蘭縣,43,,良好,1.2,0.17,0.2,44,43,25,11,3.6,3.6,0,1.4,278,2019/10/20 01:00,13,24,1,121.792928,24.632203,66,66-2019-10-20 01:00:00,66,北北西,1,,,21.2,86,1017.9,,0,中央氣象局,2019/10/20 01:00
943,臺東,臺東縣,45,,良好,2.1,0.19,0.2,48,49,23,11,2.3,2,/0.4,1.5,314,2019/10/20 01:00,12,24,2,121.15045,22.755358,62,62-2019-10-20 01:00:00,62,北,1,,,23.9,75,1015.7,,0,中央氣象局,2019/10/20 01:00
944,陽明,臺北市,49,,良好,1.1,0.15,0.1,55,53,18,8,0.6,0.8,0.2,,,2019/10/20 00:00,8,12,1,121.529583,25.182722,64,64-2019-10-20 00:00:00,64,北北西,2,,,14.8,97,,,35,中央氣象局,2019/10/20 00:00
945,臺南,臺南市,73,細懸浮微粒,普通,1.8,0.32,0.4,28,39,35,22,13,14,0.9,1.9,32,2019/10/20 00:00,24,68,3,120.202617,22.984581,46,46-2019-10-20 00:00:00,46,北,3,,,23,75,1016,,0,中央氣象局,2019/10/20 00:00
946,嘉義,嘉義市,64,細懸浮微粒,普通,1.8,0.36,0.4,27,35,37,21,12,12,0.3,1.6,346,2019/10/20 00:00,21,45,3,120.440833,23.462778,42,42-2019-10-20 00:00:00,42,靜風,,,,21.6,85,1015.8,,0,中央氣象局,2019/10/20 00:00
947,金門,金門縣,100,臭氧八小時,普通,1.7,0.26,0.3,61,70,39,15,5.7,5.8,0.1,4,33,2019/10/20 00:00,20,49,3,118.312256,24.432133,77,77-2019-10-20 00:00:00,77,東北,3,6,,21.6,64,1020.4,,0,中央氣象局,2019/10/20 00:00
948,馬祖,連江縣,126,臭氧八小時,對敏感族群不健康,2.1,0.23,0.2,82,78,40,19,3.8,4.6,0.8,2.7,326,2019/10/20 00:00,20,39,2,119.949875,26.160469,75,75-2019-10-20 00:00:00,75,東北,3,,,21.5,65,1020.8,,0,中央氣象局,2019/10/20 00:00
949,板橋,新北市,52,細懸浮微粒,普通,2.6,0.34,0.4,45,36,29,15,14,15,0.7,1.7,52,2019/10/20 00:00,16,33,,121.458667,25.012972,6,6-2019-10-20 00:00:00,6,東北東,2,,,22.8,70,1018.8,,0.5,中央氣象局,2019/10/20 00:00
950,沙鹿,臺中市,53,細懸浮微粒,普通,1.7,0.21,0.2,45,46,27,15,7.8,9.3,1.5,3.9,360,2019/10/20 00:00,16,29,2,120.568794,24.225628,29,29-2019-10-20 00:00:00,29,北,4,7,,21.9,71,1016.6,,0,中央氣象局,2019/10/20 00:00
951,基隆,基隆市,64,臭氧八小時,普通,0.9,0.17,0.2,63,59,38,9,2.6,3.7,1.1,1.2,29,2019/10/20 00:00,15,40,1,121.760056,25.129167,1,1-2019-10-20 00:00:00,1,北,4,6,,23.1,62,1018.7,,3,中央氣象局,2019/10/20 00:00
952,觀音,桃園市,50,,良好,6.9,0.15,0.1,58,54,30,8,4.7,4.8,0.1,7.4,48,2019/10/20 00:00,15,33,5,121.082761,25.035503,19,19-2019-10-20 00:00:00,19,東北,4,7,,22,64,1018,,0.5,中央氣象局,2019/10/20 00:00
953,萬華,臺北市,47,,良好,1,0.32,0.4,43,34,33,14,16,17,1.5,1.8,68,2019/10/20 00:00,15,31,1,121.507972,25.046503,13,13-2019-10-20 00:00:00,13,東北東,2,,,22.8,73,1018.8,,0,中央氣象局,2019/10/20 00:00
